source,target,weight
UCDQaQv0hr2SS_PO-CMEwVHg,UCiGRBf2RNF0WRKhRVT7zFoA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UC650pRT-OYzny3GwOH8Cgfw,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCLggDc_a5HriXv7I1h02sOA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCRelkU8JiZBytTzebJxaa-w,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCQ_-LPP8JAbfkc-b1Q6NvWw,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCSou6a2OuYGSvPjm5psquyA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCylqlpsh8ENNM1LqgQ1KbxA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCzSfZlOVxBSs5ObD25ywxDQ,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCRETAiYdh2dL5ZxB0_N1zDA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCsJJAvrVGupdmhOqgtDp8dg,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCAmtbUiIrUIhikru0ZoTFig,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCpl8rF8uv_8uui-QRvuJaRA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCQtSFINs1h6GHkpg9o5kMvg,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCQgYjVngJRfPHDLGB5X6ZjA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UC-jS_kA9w-OmpupXDx156Rg,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCL1MT278vSaQ83ZDkVWn1gw,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCsSXdJct-nsS8DsABoEsaYA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCXgr7vXlRrsaskPdo097kGA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UC9xr9QvIcDvoZNUX5f-jaZw,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCDIMztpVm7G27qBuiWuT6oQ,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCQtICyzWmhC5woCtbNgaSmg,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCsUCN0Yq_UyTvKjOJLmNrnQ,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCFoIAE8k82D6AV-8gjjKaNg,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCzoL2l5H5eVlorWGH8AZfAg,1
UCDQaQv0hr2SS_PO-CMEwVHg,UC-pNP6RMFuLg_-x7Ah_0kEA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCLFdHr9BEbXHkoJopbEPLZw,1
UCDQaQv0hr2SS_PO-CMEwVHg,UC2weSE8rpqkGMOp6StYtVfg,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCFjudnPLoaSL1BaRuLahyHg,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCAlzM_N6xBlMYmM8EBzX86Q,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCDPWkUX3sNNaCx-m1dV4glA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCut6b9S98nv84cVX89PmKzA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UC3MYTqpQqlWBuCB7Th0e0PA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCN6qbfPSzFtjhqUDZ3Cv3CQ,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCFhxtoeARHPnXXPcDrOU3Xg,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCYwpX26TrCxq8TvbKGRYLXA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCThW2XNsAaBKme5PUt7n-Zg,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCXSkL3ejZ8qWYyF_M7s_QKA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCjSKM9j0Q7HLDr1hD6D-TUw,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCOLGv5Pf6BF2wFcwUzgcvHg,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCFxE8GbokBrBsPEKM1xrOjQ,1
UCDQaQv0hr2SS_PO-CMEwVHg,UC5bG9nc_JV3FsNP2KseQiYw,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCDUffaruH6dyUnUGwsTKpgg,1
UCDQaQv0hr2SS_PO-CMEwVHg,UC3qn1yJA5PeW9rkGPatQxiw,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCh5ESQvtzyHDhCA7XyekCFA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCtUR3_CAiE7fCoZHM6cMfyQ,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCErZPJpHmLCsXs8ZWkAUupQ,1
UCDQaQv0hr2SS_PO-CMEwVHg,UC3NMzdMYryaw82kPTnsaljg,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCHTGCgY2l-DQJIvlA_cpa_Q,1
UCDQaQv0hr2SS_PO-CMEwVHg,UCUIIIPTVDVHAXqhC_5V6lPA,1
UCDQaQv0hr2SS_PO-CMEwVHg,UChgkn5Jt5tWKYMoEOuCjz3Q,1
UCDQaQv0hr2SS_PO-CMEwVHg,UC6YSZqL0vEcI-niPKIMUGfw,1
